breed_name,height,weight,life_expectancy,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs,Coat Type,Coat Length,breed_name_kor,height_k,weight_k,life_expectancy_k
affenpinscher,['9-11.5 inches'],['7-10 pounds'],['12-15 years'],3,3,3,3,3,1,5,3,3,4,3,3,3,3,['Wiry'],"['Short', 'Medium']",아펜핀셔,23-29cm,3-5kg,12-15년
afghan-hound,['25-27 inches'],['50-60 pounds'],['12-18 years'],3,3,3,1,4,1,3,3,3,3,1,4,3,3,['Silky'],['Long'],아프간 하운드,64-69cm,23-27kg,12-18년
airedale-terrier,['23 inches'],['50-70 pounds'],['11-14 years'],3,3,3,1,3,1,3,3,5,3,3,3,3,3,['Wiry'],"['Short', 'Medium']",에어데일 테리어,58cm,23-32kg,11-14년
akita,"['26-28 inches (male)', '24-26 inches (female)']","['100-130 pounds (male)', '70-100 pounds (female)']",['10-14 years'],3,3,1,3,3,1,2,3,5,3,3,4,2,3,['Double'],['Medium'],아키타,"수컷: 66-71cm, 암컷: 61-66cm","수컷: 45-59kg, 암컷: 32-45kg",10-14년
alaskan-klee-kai,['12 - 17 inches'],['6 - 25 lbs'],['13-16 years'],3,3,5,3,3,1,1,3,3,3,3,3,3,3,['Double'],['Medium'],알래스칸 클리 카이,30cm,3kg,13-16년
alaskan-malamute,"['25 inches (male)', '23 inches (female)']","['85 pounds (male)', '75 pounds (female)']",['10-14 years'],3,3,3,3,3,1,3,3,4,3,5,4,3,3,['Double'],['Medium'],알라스칸 말라뮤트,"수컷: 64cm, 암컷: 58cm","수컷: 39kg, 암컷: 34kg",10-14년
american-bulldog,['22-25 inches (males); 20-23 inches (females)'],['75-100 pounds (males); 60-80 pounds (females)'],['10-12 years'],0,3,3,2,0,0,0,0,0,0,4,0,1,0,['Smooth'],['Short'],아메리칸 불독,"수컷: 56-64cm, 암컷: 51-58cm","수컷: 34-45kg, 암컷: 27-36kg",10-12년
american-english-coonhound,"['24-26 inches (male)', '23-25 inches (female)']",['45-65 pounds'],['11-12 years'],3,3,5,2,1,1,3,3,3,3,3,4,4,3,['Smooth'],['Short'],아메리칸 잉글리시 쿤하운드,"수컷: 61-66cm, 암컷: 58-64cm",20-29kg,11-12년
american-eskimo-dog,"['9-12 inches (toy)', '12-15 inches (miniature)', '15-19 inches (Standard)']","['6-10 pounds (toy)', '10-20 pounds (miniature)', '25-35 pounds (standard)']",['13-15 years'],5,5,3,3,3,1,5,3,3,4,4,4,3,3,['Double'],['Medium'],아메리칸 에스키모 도그,"토이: 23cm, 미니어처: 30cm, 스탠다드: 38cm","토이: 3-5kg, 미니어처: 5-9kg, 스탠다드: 11-16kg",13-15년
american-foxhound,"['22-25 inches (male)', '21-24 inches (female)']","['65-70 pounds (male)', '60-65 pounds (female)']",['11-13 years'],3,5,5,3,1,1,3,3,3,3,3,4,5,3,['Smooth'],['Short'],아메리칸 폭스하운드,"수컷: 56-64cm, 암컷: 53-61cm","수컷: 29-32kg, 암컷: 27-29kg",11-13년
american-hairless-terrier,['12-16 inches'],['12-28 pounds'],['14-16 years'],5,5,3,1,1,1,3,3,3,5,5,3,3,3,['Hairless'],['Short'],아메리칸 헤어리스 테리어,30-41cm,5-13kg,14-16년
american-leopard-hound,"['22 - 27 males', '21 - 25 females']","['45 - 75 lbs males', '35 - 65 lbs females']",['12-15 years'],3,5,5,3,1,1,1,3,5,5,3,4,5,5,['Smooth'],['Short'],아메리칸 레오파드 하운드,"56cm, 53cm","20kg, 16kg",12-15년
american-staffordshire-terrier,"['18-19 inches (male)', '17-18 inches (female)']","['55-70 pounds (male)', '40-55 pounds (female)']",['12-16 years'],5,3,3,2,1,1,4,3,5,3,3,3,3,3,['Smooth'],['Short'],아메리칸 스태퍼드셔 테리어,"수컷: 46-48cm, 암컷: 43-46cm","수컷: 25-32kg, 암컷: 18-25kg",12-16년
american-water-spaniel,['15-18 inches'],"['30-45 pounds (male)', '25-40 pounds (female)']",['10-14 years'],3,3,3,1,3,1,3,3,3,3,5,3,3,3,"['Double', 'Curly']",['Medium'],아메리칸 워터 스파니엘,38-46cm,"수컷: 14-20kg, 암컷: 11-18kg",10-14년
anatolian-shepherd-dog,"['29 inches (male)', '27 inches (female)']","['110-150 pounds (male)', '80-120 pounds (female)']",['11-13 years'],1,3,3,3,2,1,1,3,5,3,2,3,3,3,['Smooth'],['Short'],아나톨리안 셰퍼드 도그,"수컷: 74cm, 암컷: 69cm","수컷: 50-68kg, 암컷: 36-54kg",11-13년
appenzeller-sennenhund,['20 -22 inches'],['48-70 pounds'],['13-15 years'],5,3,5,3,3,3,1,3,5,5,5,5,5,5,[],['Short'],아펜첼러 센넨훈트,51cm,22-32kg,13-15년
australian-cattle-dog,"['18-20 inches (male)', '17-19 inches (female)']",['35-50 pounds'],['12-16 years'],3,3,3,3,1,1,3,3,4,3,4,5,1,4,"['Smooth', 'Double']",['Short'],오스트레일리안 캐틀 도그,"수컷: 46-51cm, 암컷: 43-48cm",16-23kg,12-16년
australian-kelpie,['17-20 inches'],['35-50 lbs'],['10-13 years'],3,3,3,3,1,1,3,3,4,3,4,5,1,4,"['Smooth', 'Double']",['Short'],오스트레일리안 켈피,43-51cm,16-23kg,10-13년
australian-shepherd,"['20-23 inches (male)', '18-21 inches (female)']","['50-65 pounds (male)', '40-55 pounds (female)']",['12-15 years'],3,5,3,3,2,1,3,4,3,3,5,5,3,5,['Double'],['Medium'],오스트레일리안 셰퍼드,"수컷: 51-58cm, 암컷: 46-53cm","수컷: 23-29kg, 암컷: 18-25kg",12-15년
australian-stumpy-tail-cattle-dog,"['18-20 inches (males)', '17-19 inches (females)']","['38-45 lbs (males)', '32-35 lbs (females)']",['12-15 years'],1,3,1,3,3,1,1,3,3,3,3,5,1,5,['Double'],['Short'],오스트레일리안 스텀피 테일 캐틀 도그,"수컷: 46-51cm, 암컷: 43-48cm","수컷: 17-20kg, 암컷: 15-16kg",12-15년
australian-terrier,['10-11 inches'],['15-20 pounds'],['11-15 years'],4,5,3,1,2,1,3,3,4,4,4,3,3,3,"['Rough', 'Double']",['Medium'],오스트레일리안 테리어,25-28cm,7-9kg,11-15년
azawakh,"['25-29 inches (male)', '23.5-27.5 inches (female)']","['44-55 pounds (male)', '33-44 pounds (female)']",['12-15 years'],3,3,3,2,2,1,1,3,3,3,2,3,1,3,['Smooth'],['Short'],아자와크,"수컷: 64-74cm, 암컷: 60-70cm","수컷: 20-25kg, 암컷: 15-20kg",12-15년
barbado-da-terceira,"['20 1/2 - 22 inches (males)', '19 - 21 inches (females)']","['55-60 lbs (males)', '46-57 lbs (females)']",['12-14 years'],5,3,3,1,3,1,1,5,5,5,5,5,1,5,[],['Medium'],바르바도 다 테르세이라,"수컷: 51cm, 암컷: 48cm","수컷: 25-27kg, 암컷: 21-26kg",12-14년
barbet,['19-24.5 inches'],['35-65 pounds'],['12-14 years'],4,3,3,1,5,1,3,3,3,3,4,3,3,3,"['Curly', 'Wavy']","['Medium', 'Long']",바비트,48-62cm,16-29kg,12-14년
basenji,"['17 inches (male)', '16 inches (female)']","['24 pounds (male)', '22 pounds (female)']",['13-14 years'],3,3,3,2,1,1,3,3,3,3,2,4,1,4,['Smooth'],['Short'],바센지,"수컷: 43cm, 암컷: 41cm","수컷: 11kg, 암컷: 10kg",13-14년
