breedurl,dogbreed
affenpinscher,Affenpinscher
afghan-hound,Afghan Hound
airedale-terrier,Airedale Terrier
akita,Akita
alaskan-klee-kai,Alaskan Klee Kai
alaskan-malamute,Alaskan Malamute
american-bulldog,American Bulldog
american-english-coonhound,American English Coonhound
american-eskimo-dog,American Eskimo Dog
american-foxhound,American Foxhound
american-hairless-terrier,American Hairless Terrier
american-leopard-hound,American Leopard Hound
american-staffordshire-terrier,American Staffordshire Terrier
american-water-spaniel,American Water Spaniel
anatolian-shepherd-dog,Anatolian Shepherd Dog
appenzeller-sennenhund,Appenzeller Sennenhund
australian-cattle-dog,Australian Cattle Dog
australian-kelpie,Australian Kelpie
australian-shepherd,Australian Shepherd
australian-stumpy-tail-cattle-dog,Australian Stumpy Tail Cattle Dog
australian-terrier,Australian Terrier
azawakh,Azawakh
barbado-da-terceira,Barbado da Terceira
barbet,Barbet
basenji,Basenji
basset-fauve-de-bretagne,Basset Fauve de Bretagne
basset-hound,Basset Hound
bavarian-mountain-scent-hound,Bavarian Mountain Scent Hound
beagle,Beagle
bearded-collie,Bearded Collie
beauceron,Beauceron
bedlington-terrier,Bedlington Terrier
belgian-laekenois,Belgian Laekenois
belgian-malinois,Belgian Malinois
belgian-sheepdog,Belgian Sheepdog
belgian-tervuren,Belgian Tervuren
bergamasco-sheepdog,Bergamasco Sheepdog
berger-picard,Berger Picard
bernese-mountain-dog,Bernese Mountain Dog
bichon-frise,Bichon Frise
biewer-terrier,Biewer Terrier
black-and-tan-coonhound,Black and Tan Coonhound
black-russian-terrier,Black Russian Terrier
bloodhound,Bloodhound
blue-picardy-spaniel,Blue Picardy Spaniel
bluetick-coonhound,Bluetick Coonhound
boerboel,Boerboel
bohemian-shepherd,Bohemian Shepherd
bolognese,Bolognese
border-collie,Border Collie
border-terrier,Border Terrier
borzoi,Borzoi
boston-terrier,Boston Terrier
bouvier-de-ardennes,Bouvier des Ardennes
bouvier-des-flandres,Bouvier des Flandres
boxer,Boxer
boykin-spaniel,Boykin Spaniel
bracco-italiano,Bracco Italiano
braque-du-bourbonnais,Braque du Bourbonnais
braque-francais-pyrenean,Braque Francais Pyrenean
braque-saint-germain,Braque Saint-Germain
