desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel
448536202500195,http://www.animal.go.kr/files/shelter/2025/02/202503121003976[1]_s.jpg,2025-03-12,하남읍,[개] 믹스견,갈색&검정,2025(60일미만)(년생),2.5(Kg),경남-밀양-2025-00194,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503121003976[1].jpg,보호중,F,N,"2마리 같이 구조 됨, 순하고 귀여움",밀양시 동물보호센터,070-4113-7288,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍) ,경상남도 밀양시,김민성,055-359-7184
448536202500194,http://www.animal.go.kr/files/shelter/2025/02/202503121003547_s.jpg,2025-03-12,하남읍,[개] 믹스견,흰색,2025(60일미만)(년생),2.5(Kg),경남-밀양-2025-00193,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503121003547.jpg,보호중,F,N,"2마리 같이 구조 됨, 순하고 귀여움",밀양시 동물보호센터,070-4113-7288,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍) ,경상남도 밀양시,김민성,055-359-7184
448531202500124,http://www.animal.go.kr/files/shelter/2025/02/202503121003201_s.jpg,2025-03-12,진주시 호탄동 628-3,[개] 푸들,회색,2022(년생),3.9(Kg),경남-진주-2025-00066,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503121003201.jpg,보호중,M,N,여기저기 관심많아서 활동적임  유기생활로 인해서 피부병보임,진주시동물보호센터,055-749-6134,"경상남도 진주시 집현면 신당길207번길 22 (집현면, 지역농업개발시설) ",경상남도 진주시,김현준,055-749-6134
447520202500055,http://www.animal.go.kr/files/shelter/2025/02/20250312100337_s.jpg,2025-03-12,우곡면 봉산리259,[개] 믹스견,흰색,2025(60일미만)(년생),3.50(Kg),경북-고령-2025-00055,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/20250312100337.jpg,보호중,F,N,들개무리중 포획,고령군 유기견 보호소,010-4419-4135,경상북도 고령군 운수면 하법길 37 (운수면) ,경상북도 고령군,고령군,0549507472
447520202500054,http://www.animal.go.kr/files/shelter/2025/02/202503121003252_s.jpg,2025-03-12,우곡면 봉산리259,[개] 믹스견,호반색(호랑이무늬),2025(년생),3.50(Kg),경북-고령-2025-00054,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503121003252.jpg,보호중,M,N,들개무리중 포획,고령군 유기견 보호소,010-4419-4135,경상북도 고령군 운수면 하법길 37 (운수면) ,경상북도 고령군,고령군,0549507472
447520202500053,http://www.animal.go.kr/files/shelter/2025/02/202503121003902_s.jpg,2025-03-12,우곡면 봉산리259,[개] 믹스견,호반색(호랑이무늬),2025(년생),3.50(Kg),경북-고령-2025-00053,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503121003902.jpg,보호중,M,N,들개무리중 포획,고령군 유기견 보호소,010-4419-4135,경상북도 고령군 운수면 하법길 37 (운수면) ,경상북도 고령군,고령군,0549507472
447519202500094,http://www.animal.go.kr/files/shelter/2025/02/202503121003859_s.jpg,2025-03-12,매전면 온막리,[개] 믹스견,검정색,2025(60일미만)(년생),2(Kg),경북-청도-2025-00094,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503121003859.jpg,보호중,F,U,작고귀여움,청도군동물보호센터,054-371-9267,경상북도 청도군 청도읍 중앙로 84-466  동물보호센터,경상북도 청도군,청도군,0543706557
447519202500093,http://www.animal.go.kr/files/shelter/2025/02/202503121003462_s.jpg,2025-03-12,매전면 온막리,[개] 믹스견,흰색,2025(60일미만)(년생),2(Kg),경북-청도-2025-00093,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503121003462.jpg,보호중,M,U,작고귀여움,청도군동물보호센터,054-371-9267,경상북도 청도군 청도읍 중앙로 84-466  동물보호센터,경상북도 청도군,청도군,0543706557
447519202500092,http://www.animal.go.kr/files/shelter/2025/02/202503120903780_s.jpg,2025-03-12,매전면 온막리,[개] 믹스견,갈색&검정,2025(60일미만)(년생),2(Kg),경북-청도-2025-00092,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503120903780.jpg,보호중,M,U,작고귀여움,청도군동물보호센터,054-371-9267,경상북도 청도군 청도읍 중앙로 84-466  동물보호센터,경상북도 청도군,청도군,0543706557
447519202500091,http://www.animal.go.kr/files/shelter/2025/02/202503120903716[1]_s.jpg,2025-03-12,매전면 온막리,[개] 믹스견,갈색,2025(60일미만)(년생),2(Kg),경북-청도-2025-00091,2025-03-12,2025-03-24,http://www.animal.go.kr/files/shelter/2025/02/202503120903716[1].jpg,보호중,M,U,작고귀여움,청도군동물보호센터,054-371-9267,경상북도 청도군 청도읍 중앙로 84-466  동물보호센터,경상북도 청도군,청도군,0543706557
